
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             Phase2Answers-1b.txt
Test File:                                        Llama.maxdiff.1b.txt
Number of MaxDiff Questions:                      103
Number of Least Illustrative Guessed Correctly:   33
Number of Least Illustrative Guessed Incorrectly: 70
Accuracy of Least Illustrative Guesses:            32.0%
Number of Most Illustrative Guessed Correctly:    47
Number of Most Illustrative Guessed Incorrectly:  56
Accuracy of Most Illustrative Guesses:             45.6%
Overall Accuracy:                                  38.8%
