
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             Phase2Answers/Phase2Answers-2j.txt
Test File:                                        Maxdiff-llama-answers/Llama.maxdiff.2j.txt
Number of MaxDiff Questions:                      105
Number of Least Illustrative Guessed Correctly:   39
Number of Least Illustrative Guessed Incorrectly: 66
Accuracy of Least Illustrative Guesses:            37.1%
Number of Most Illustrative Guessed Correctly:    38
Number of Most Illustrative Guessed Incorrectly:  67
Accuracy of Most Illustrative Guesses:             36.2%
Overall Accuracy:                                  36.7%
