
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             Phase2Answers/Phase2Answers-3e.txt
Test File:                                        Maxdiff-llama-answers/Llama.maxdiff.3e.txt
Number of MaxDiff Questions:                      93
Number of Least Illustrative Guessed Correctly:   37
Number of Least Illustrative Guessed Incorrectly: 56
Accuracy of Least Illustrative Guesses:            39.8%
Number of Most Illustrative Guessed Correctly:    17
Number of Most Illustrative Guessed Incorrectly:  76
Accuracy of Most Illustrative Guesses:             18.3%
Overall Accuracy:                                  29.0%
