"fridge:appliance" "home:tree" "nourishment:banana" "seat:chair" "nourishment:banana" "fridge:appliance"
"clothing:sock" "sock:clothing" "fuel:gasoline" "meat:ham" "fuel:gasoline" "clothing:sock"
"fork:utensil" "shoe:sandal" "utensil:spoon" "clothing:shirt" "clothing:shirt" "fork:utensil"
"apple:food" "animal:dog" "instrument:clarinet" "appliance:fridge" "appliance:fridge" "apple:food"
"seasoning:pepper" "beverage:water" "chisel:tool" "artwork:sculpture" "seasoning:pepper" "chisel:tool"
"vegetable:spinach" "tool:hammer" "food:apple" "movie:comedy" "movie:comedy" "vegetable:spinach"
"vessel:pot" "dish:plate" "transportation:bus" "furniture:chair" "vessel:pot" "transportation:bus"
"instrument:violin" "garment:skirt" "person:girl" "tool:chisel" "person:girl" "tool:chisel"
"lubricant:oil" "seat:stool" "garment:shirt" "tool:screwdriver" "garment:shirt" "tool:screwdriver"
"cat:animal" "fruit:apple" "preservative:salt" "girl:person" "cat:animal" "preservative:salt"
"chair:furniture" "garment:shirt" "home:tree" "seasoning:pepper" "seasoning:pepper" "chair:furniture"
"chisel:tool" "seat:chair" "transportation:bus" "preservative:salt" "preservative:salt" "chisel:tool"
"apple:food" "beverage:water" "chair:furniture" "seat:stool" "apple:food" "chair:furniture"
"nourishment:banana" "vessel:pot" "lubricant:oil" "girl:person" "girl:person" "nourishment:banana"
"instrument:clarinet" "fruit:apple" "person:girl" "tool:chisel" "tool:chisel" "person:girl"
"clothing:shirt" "movie:comedy" "utensil:spoon" "fridge:appliance" "clothing:shirt" "utensil:spoon"
"shoe:sandal" "appliance:fridge" "furniture:chair" "food:apple" "furniture:chair" "shoe:sandal"
"fuel:gasoline" "dish:plate" "animal:dog" "tool:hammer" "animal:dog" "fuel:gasoline"
"fork:utensil" "instrument:violin" "meat:ham" "vegetable:spinach" "vegetable:spinach" "fork:utensil"
"tool:screwdriver" "cat:animal" "garment:skirt" "sock:clothing" "cat:animal" "tool:screwdriver"
"clothing:sock" "artwork:sculpture" "cat:animal" "instrument:violin" "artwork:sculpture" "clothing:sock"
"seat:chair" "movie:comedy" "sock:clothing" "chair:furniture" "sock:clothing" "seat:chair"
"tool:chisel" "garment:skirt" "transportation:bus" "girl:person" "tool:chisel" "girl:person"
"furniture:chair" "preservative:salt" "tool:hammer" "fork:utensil" "furniture:chair" "tool:hammer"
"nourishment:banana" "person:girl" "lubricant:oil" "fridge:appliance" "lubricant:oil" "nourishment:banana"
"animal:dog" "meat:ham" "beverage:water" "food:apple" "beverage:water" "animal:dog"
"home:tree" "utensil:spoon" "clothing:sock" "instrument:clarinet" "home:tree" "utensil:spoon"
"tool:screwdriver" "vessel:pot" "appliance:fridge" "shoe:sandal" "shoe:sandal" "tool:screwdriver"
"chisel:tool" "garment:shirt" "fruit:apple" "seat:stool" "fruit:apple" "chisel:tool"
"seasoning:pepper" "vegetable:spinach" "fuel:gasoline" "clothing:shirt" "seasoning:pepper" "fuel:gasoline"
"apple:food" "artwork:sculpture" "dish:plate" "chisel:tool" "apple:food" "dish:plate"
"seat:chair" "apple:food" "clothing:sock" "preservative:salt" "preservative:salt" "seat:chair"
"clothing:shirt" "vessel:pot" "garment:skirt" "cat:animal" "cat:animal" "clothing:shirt"
"tool:hammer" "fuel:gasoline" "girl:person" "sock:clothing" "girl:person" "tool:hammer"
"fruit:apple" "person:girl" "furniture:chair" "instrument:violin" "person:girl" "fruit:apple"
"seat:stool" "dish:plate" "fridge:appliance" "transportation:bus" "dish:plate" "seat:stool"
"nourishment:banana" "fork:utensil" "vegetable:spinach" "movie:comedy" "movie:comedy" "nourishment:banana"
"garment:shirt" "utensil:spoon" "artwork:sculpture" "meat:ham" "garment:shirt" "utensil:spoon"
"appliance:fridge" "chair:furniture" "home:tree" "tool:screwdriver" "tool:screwdriver" "appliance:fridge"
"instrument:clarinet" "tool:chisel" "lubricant:oil" "food:apple" "food:apple" "instrument:clarinet"
"beverage:water" "seasoning:pepper" "animal:dog" "shoe:sandal" "shoe:sandal" "beverage:water"
"utensil:spoon" "fridge:appliance" "garment:shirt" "lubricant:oil" "lubricant:oil" "utensil:spoon"
"preservative:salt" "fuel:gasoline" "instrument:violin" "home:tree" "home:tree" "preservative:salt"
"fork:utensil" "seat:stool" "instrument:clarinet" "artwork:sculpture" "artwork:sculpture" "fork:utensil"
"beverage:water" "girl:person" "clothing:sock" "transportation:bus" "clothing:sock" "beverage:water"
"dish:plate" "movie:comedy" "sock:clothing" "person:girl" "person:girl" "dish:plate"
"vegetable:spinach" "garment:skirt" "nourishment:banana" "animal:dog" "vegetable:spinach" "nourishment:banana"
"tool:hammer" "clothing:shirt" "chair:furniture" "food:apple" "food:apple" "tool:hammer"
"apple:food" "tool:chisel" "seat:chair" "cat:animal" "apple:food" "seat:chair"
"chisel:tool" "tool:screwdriver" "appliance:fridge" "furniture:chair" "furniture:chair" "chisel:tool"
"seasoning:pepper" "fruit:apple" "meat:ham" "vessel:pot" "vessel:pot" "seasoning:pepper"
"shoe:sandal" "garment:skirt" "tool:screwdriver" "fruit:apple" "shoe:sandal" "tool:screwdriver"
"meat:ham" "vegetable:spinach" "girl:person" "utensil:spoon" "utensil:spoon" "girl:person"
"food:apple" "seasoning:pepper" "tool:chisel" "home:tree" "home:tree" "tool:chisel"
"movie:comedy" "instrument:violin" "seat:chair" "apple:food" "apple:food" "seat:chair"
"vessel:pot" "appliance:fridge" "cat:animal" "garment:shirt" "cat:animal" "vessel:pot"
"transportation:bus" "tool:hammer" "instrument:clarinet" "fridge:appliance" "instrument:clarinet" "transportation:bus"
"shoe:sandal" "chair:furniture" "nourishment:banana" "preservative:salt" "shoe:sandal" "nourishment:banana"
"fork:utensil" "dish:plate" "beverage:water" "clothing:sock" "clothing:sock" "fork:utensil"
"seat:stool" "sock:clothing" "artwork:sculpture" "fuel:gasoline" "artwork:sculpture" "seat:stool"
"chisel:tool" "lubricant:oil" "clothing:shirt" "animal:dog" "animal:dog" "chisel:tool"
"person:girl" "furniture:chair" "instrument:violin" "apple:food" "apple:food" "person:girl"
"preservative:salt" "furniture:chair" "vegetable:spinach" "utensil:spoon" "furniture:chair" "vegetable:spinach"
"transportation:bus" "garment:skirt" "appliance:fridge" "fork:utensil" "fork:utensil" "transportation:bus"
"tool:screwdriver" "cat:animal" "beverage:water" "tool:hammer" "beverage:water" "tool:screwdriver"
"lubricant:oil" "clothing:sock" "animal:dog" "fuel:gasoline" "animal:dog" "lubricant:oil"
"instrument:clarinet" "sock:clothing" "vessel:pot" "fridge:appliance" "sock:clothing" "vessel:pot"
"person:girl" "shoe:sandal" "fruit:apple" "seat:chair" "shoe:sandal" "person:girl"
"meat:ham" "clothing:shirt" "tool:chisel" "chisel:tool" "tool:chisel" "meat:ham"
"dish:plate" "seat:stool" "movie:comedy" "seasoning:pepper" "seasoning:pepper" "dish:plate"
"nourishment:banana" "chair:furniture" "food:apple" "home:tree" "chair:furniture" "nourishment:banana"
"girl:person" "artwork:sculpture" "garment:shirt" "dish:plate" "girl:person" "garment:shirt"
"vegetable:spinach" "girl:person" "preservative:salt" "clothing:sock" "clothing:sock" "vegetable:spinach"
"artwork:sculpture" "cat:animal" "seat:chair" "sock:clothing" "artwork:sculpture" "seat:chair"
"meat:ham" "fuel:gasoline" "person:girl" "food:apple" "meat:ham" "person:girl"
"appliance:fridge" "utensil:spoon" "seat:stool" "instrument:violin" "utensil:spoon" "appliance:fridge"
"tool:screwdriver" "fork:utensil" "garment:skirt" "transportation:bus" "garment:skirt" "tool:screwdriver"
"tool:hammer" "fridge:appliance" "home:tree" "apple:food" "apple:food" "tool:hammer"
"fruit:apple" "chisel:tool" "shoe:sandal" "beverage:water" "home:tree" "apple:food"
"animal:dog" "chair:furniture" "instrument:clarinet" "movie:comedy" "instrument:clarinet" "animal:dog"
"furniture:chair" "tool:chisel" "garment:shirt" "vessel:pot" "vessel:pot" "furniture:chair"
"lubricant:oil" "nourishment:banana" "clothing:shirt" "seasoning:pepper" "lubricant:oil" "nourishment:banana"
"chisel:tool" "instrument:clarinet" "tool:screwdriver" "chair:furniture" "tool:screwdriver" "chair:furniture"
"food:apple" "fruit:apple" "seat:chair" "garment:shirt" "garment:shirt" "food:apple"
"home:tree" "furniture:chair" "fridge:appliance" "cat:animal" "fridge:appliance" "cat:animal"
"transportation:bus" "person:girl" "clothing:sock" "nourishment:banana" "clothing:sock" "transportation:bus"
"dish:plate" "sock:clothing" "beverage:water" "utensil:spoon" "dish:plate" "utensil:spoon"
"movie:comedy" "meat:ham" "fork:utensil" "seat:stool" "fork:utensil" "movie:comedy"
"tool:chisel" "girl:person" "clothing:shirt" "apple:food" "girl:person" "tool:chisel"
"appliance:fridge" "artwork:sculpture" "instrument:violin" "vegetable:spinach" "vegetable:spinach" "appliance:fridge"
"fuel:gasoline" "vessel:pot" "lubricant:oil" "shoe:sandal" "shoe:sandal" "fuel:gasoline"
"tool:hammer" "animal:dog" "seasoning:pepper" "preservative:salt" "seasoning:pepper" "tool:hammer"
"garment:skirt" "tool:screwdriver" "seat:chair" "vessel:pot" "vessel:pot" "seat:chair"
"beverage:water" "fork:utensil" "garment:shirt" "food:apple" "food:apple" "beverage:water"
"girl:person" "movie:comedy" "animal:dog" "shoe:sandal" "shoe:sandal" "girl:person"
"seat:stool" "clothing:shirt" "transportation:bus" "apple:food" "apple:food" "seat:stool"
"fuel:gasoline" "nourishment:banana" "chisel:tool" "appliance:fridge" "chisel:tool" "fuel:gasoline"
"chair:furniture" "clothing:sock" "utensil:spoon" "seasoning:pepper" "seasoning:pepper" "chair:furniture"
"tool:chisel" "person:girl" "artwork:sculpture" "garment:skirt" "person:girl" "tool:chisel"
"cat:animal" "tool:hammer" "instrument:clarinet" "instrument:violin" "cat:animal" "tool:hammer"
"preservative:salt" "fridge:appliance" "dish:plate" "vegetable:spinach" "vegetable:spinach" "fridge:appliance"
"home:tree" "furniture:chair" "sock:clothing" "lubricant:oil" "lubricant:oil" "furniture:chair"
"meat:ham" "fruit:apple" "fork:utensil" "home:tree" "home:tree" "fruit:apple"
