"clothes:blouses" "cutlery:forks" "crows:birds" "animals:dogs" "clothes:blouses" "animals:dogs"
"coins:pennies" "furniture:chairs" "cars:fords" "instrument:flute" "coins:pennies" "insrtrument:flute"
"clothing:dresses" "utensils:forks" "money:dime" "china:plates" "clothing:dresses" "money:dime"
"poems:sonnets" "eyeshadow:makeup" "nuts:cashews" "makeup:eyeshadow" "poems:sonnets" "makeup:eyeshadow"
"bedding:sheets" "sheets:bedding" "landscape:flowers" "birds:crows" "bedding:sheets" "birds:crows"
"cars:sedan" "hats:sombreros" "dogs:collies" "beverages:tea" "cars:sedan" "dogs" "collies"
"fords:cars" "hobby:stamps" "clothing:shirts" "snacks:chips" "fords:cars" "snacks:chips"
"beverages:sodas" "pets:dogs" "silverware:spoon" "fish:salmon" "beverages:sodas" "fish:salmon"
"animals:cows" "flowers:dahlias" "clothes:pants" "seating:chair" "animals:cows" "seating:chair"
"colors:blue" "clothes:shirts" "libraries:books" "fruit:apples" "colors:blue" "libraries:books"
"animals:cats" "dogs:animals" "jewelry:rings" "cars:sedan" "animals:cats" "jewelry:rings"
"animals:cats" "clothes:pants" "clothes:blouses" "birds:crows" "animals:cats" "birds:crows"
"beverages:tea" "cutlery:forks" "china:plates" "colors:blue" "beverages:tea" "colors:blue"
"pets:dogs" "poems:sonnets" "beverages:sodas" "utensils:forks" "pets:dogs" "poems:sonnets"
"jewelry:rings" "landscape:flowers" "hobby:stamps" "money:dime" "jewelry:rings" "money:dime"
"dogs:collies" "bedding:sheets" "silverware:spoon" "flowers:dahlias" "dogs:collies" "flowers:dahlias"
"seating:chair" "sheets:bedding" "dogs:animals" "clothes:shirts" "seating:chair" "clothes:shirts"
"animals:dogs" "instrument:flute" "hats:sombreros" "furniture:chairs" "animals:dogs" "furniture:chairs"
"crows:birds" "snacks:chips" "clothing:dresses" "fords:cars" "crows:birds" "fords:cars"
"clothing:shirts" "libraries:books" "eyeshadow:makeup" "fish:salmon" "clothing:shirts" "eyeshadow:makeup"
"makeup:eyeshadow" "coins:pennies" "cars:fords" "nuts:cashews" "makeup:eyeshadow" "coins:pennies"
"fruit:apples" "animals:cows" "clothes:shirts" "cars:fords" "fruit:apples" "animals:cows"
"furniture:chairs" "clothes:pants" "hats:sombreros" "animals:cats" "furniture:chairs" "animals:cats"
"instrument:flute" "sheets:bedding" "makeup:eyeshadow" "beverages:sodas" "instrument:flute" "beverages:sodas"
"fruit:apples" "clothing:dresses" "flowers:dahlias" "jewelry:rings" "fruit:apples" "jewelry:rings"
"cars:sedan" "silverware:spoon" "landscape:flowers" "coins:pennies" "cars:sedan" "coins:pennies"
"eyeshadow:makeup" "cutlery:forks" "animals:dogs" "seating:chair" "eyeshadow:makeup" "seating:chair"
"snacks:chips" "libraries:books" "fish:salmon" "fords:cars" "snacks:chips" "fords:cars"
"utensils:forks" "nuts:cashews" "beverages:tea" "pets:dogs" "utensils:forks" "beverages:tea"
"dogs:collies" "money:dime" "birds:crows" "hobby:stamps" "dogs:collies" "hobby:stamps"
"poems:sonnets" "dogs:animals" "crows:birds" "bedding:sheets" "poems:sonnets" "bedding:sheets"
"clothing:shirts" "china:plates" "clothes:blouses" "animals:cows" "clothing:shirts" "animals:cows"
"colors:blue" "money:dime" "clothing:shirts" "instrument:flute" "colors:blue" "instrument:flute"
"poems:sonnets" "dogs:collies" "china:plates" "hats:sombreros" "poems:sonnets" "hats:sombreros"
"makeup:eyeshadow" "fish:salmon" "clothes:blouses" "hobby:stamps" "makeup:eyeshadow" "hobby:stamps
"dogs:animals" "snacks:chips" "utensils:forks" "jewelry:rings" "dogs:animals" "jewelry:rings"
"cars:sedan" "cutlery:forks" "animals:cats" "fords:cars" "cars:sedan" "animals:cats" 
"colors:blue" "beverages:tea" "cars:fords" "fruit:apples" "colors:blue" "beverages:tea"
"animals:cows" "nuts:cashews" "bedding:sheets" "landscape:flowers" "animals:cows" "bedding:sheets"
"flowers:dahlias" "seating:chair" "sheets:bedding" "crows:birds" "flowers:dahlias" "seating:chair"
"clothes:shirts" "clothing:dresses" "pets:dogs" "furniture:chairs" "clothes:shirts" "pets:dogs" 
"coins:pennies" "animals:dogs" "clothes:pants" "libraries:books" "coins:pennies" "animals:dogs"
"birds:crows" "silverware:spoon" "beverages:sodas" "eyeshadow:makeup" "birds:crows" "silverware:spoon"
"animals:cats" "instrument:flute" "bedding:sheets" "hats:sombreros" "animals:cats" "hats:sombreros"
"animals:cows" "nuts:cashews" "seating:chair" "colors:blue" "animals:cows" "colors:blue"
"coins:pennies" "crows:birds" "cutlery:forks" "fruit:apples" "coins:pennies" "fruit:apples" 
"animals:dogs" "silverware:spoon" "utensils:forks" "snacks:chips" "animals:dogs" "utensils:forks"
"landscape:flowers" "cars:sedan" "libraries:books" "jewelry:rings" "landscape:flowers" "jewelry:rings"
"china:plates" "dogs:collies" "clothes:pants" "poems:sonnets" "china:plates" "poems:sonnets"
"fish:salmon" "birds:crows" "beverages:tea" "sheets:bedding" "fish:salmon" "beverages:tea" 
"makeup:eyeshadow" "pets:dogs" "flowers:dahlias" "cars:fords" "makeup:eyeshadow" "cards:fords"
"clothes:shirts" "hobby:stamps" "fords:cars" "clothing:shirts" "clothes:shirts" "fords:cars"
"beverages:sodas" "eyeshadow:makeup" "dogs:animals" "furniture:chairs" "beverages:sodas" "eyeshadow:makeup" 
"clothing:dresses" "clothes:blouses" "money:dime" "bedding:sheets" "clothing:dresses" "money:dime"
"cutlery:forks" "cars:fords" "poems:sonnets" "snacks:chips" "cultrey:forks" "poems:sonnets"
"beverages:sodas" "fords:cars" "jewelry:rings" "seating:chair" "beverages:sodas" "seating:chair"
