#
#   Generated by:                 llama
#   MaxDiff Questions File:       Training/Phase2Questions/Phase2Questions-2d.txt
#   MaxDiff Answers File:         Maxdiff-llama-answers/Llama.maxdiff.2d.txt
#   Number of Unique Pairs:       
#   Number of MaxDiff Questions:  98
#
#   relationship:		  Y is typically found at an event such as X
#
#   relation1 relation2 relation3 relation4 least_illustrative most_illustrative
#
"graduation:diploma" "party:alcohol" "cinema:film" "party:guests" "party:guests" "graduation:diploma"
"restaurant:chef" "prom:dress" "clambake:clams" "zoo:animal" "prom:dress" "restaurant:chef"
"funeral:coffin" "competition:athlete" "school:students" "funeral:corpse" "school:students" "funeral:coffin"
"circus:ringmaster" "party:celebrant" "concert:musician" "zoo:lion" "zoo:lion" "circus:ringmaster"
"players:game" "athlete:competition" "celebrant:party" "lion:zoo" "celebrant:party" "players:game"
"meal:food" "audition:actor" "meet:athlete" "rides:carnival" "rides:carnival" "meal:food"
"crime:evidence" "hospital:patient" "carnival:rides" "circus:clown" "carnival:rides" "circus:clown" 
"prayer:reverence" "baptism:priest" "church:preacher" "funeral:mourner" "prayer:reverence" "church:preacher"
"picnic:blanket" "game:players" "picnic:snacks" "graduation:students" "game:players" "picnic:snacks"
"pool:water" "funeral:family" "game:referee" "celebrant:party" "pool:water" "funeral:family"
"circus:ringmaster" "cinema:film" "picnic:blanket" "pool:water" "picnic:blanket" "circus:ringmaster" 
"party:guests" "lion:zoo" "hospital:patient" "clambake:clams" "clambake:clams" "party:guests"
"circus:clown" "picnic:snacks" "zoo:lion" "graduation:students" "graduation:students" "circus:clown"
"audition:actor" "baptism:priest" "concert:musician" "school:students" "school:students" "baptism:priest"
"carnival:rides" "game:players" "funeral:mourner" "crime:evidence" "funeral:mourner" "carnival:rides" 
"rides:carnival" "game:referee" "prayer:reverence" "players:game" "prayer:reverence" "rides:carnival" 
"party:celebrant" "zoo:animal" "meal:food" "graduation:diploma" "meal:food" "zoo:animal" 
"funeral:family" "meet:athlete" "funeral:coffin" "competition:athlete" "meet:athlete" "funeral:family"
"restaurant:chef" "church:preacher" "party:alcohol" "funeral:corpse" "funeral:corpse" "restaurant:chef" 
"prom:dress" "athlete:competition" "zoo:animal" "hospital:patient" "zoo:animal" "athlete:competition" 
"graduation:diploma" "players:game" "funeral:corpse" "church:preacher" "funeral:corpse" "graduation:diploma"
"funeral:coffin" "cinema:film" "athlete:competition" "party:celebrant" "cinema:film" "funeral:coffin"
"circus:ringmaster" "celebrant:party" "picnic:snacks" "prom:dress" "picnic:snacks" "circus:ringmaster"
"funeral:mourner" "crime:evidence" "graduation:students" "meet:athlete" "meet:athlete" "funeral:mourner"
"picnic:blanket" "carnival:rides" "party:guests" "concert:musician" "concert:musician" "picnic:blanket"
"competition:athlete" "party:alcohol" "rides:carnival" "circus:clown" "rides:carnival" "competition:athlete" 
"audition:actor" "meal:food" "clambake:clams" "game:referee" "clambake:clams" "audition:actor"
"lion:zoo" "baptism:priest" "pool:water" "restaurant:chef" "pool:water" "lion:zoo"
"prayer:reverence" "zoo:lion" "funeral:family" "game:players" "funeral:family" "prayer:reverence"
"school:students" "pool:water" "athlete:competition" "carnival:rides" "athlete:competition" "school:students"
"hospital:patient" "picnic:blanket" "funeral:mourner" "clambake:clams" "clambake:clams" "hospital:patient"
"prayer:reverence" "audition:actor" "celebrant:party" "circus:clown" "circus:clown" "prayer:reverence"
"baptism:priest" "circus:ringmaster" "party:alcohol" "school:students" "party:alcohol" "baptism:priest"
"meal:food" "party:guests" "game:referee" "picnic:snacks" "picnic:snacks" "meal:food"
"competition:athlete" "funeral:coffin" "graduation:diploma" "prom:dress" "funeral:coffin" "competition:athlete"
"players:game" "concert:musician" "graduation:students" "church:preacher" "church:preacher" "players:game"
"zoo:animal" "crime:evidence" "cinema:film" "game:players" "game:players" "zoo:animal"
"restaurant:chef" "rides:carnival" "zoo:lion" "funeral:corpse" "funeral:corpse" "restaurant:chef" 
"meet:athlete" "party:celebrant" "funeral:family" "lion:zoo" "lion:zoo" "meet:athlete"
"party:guests" "funeral:mourner" "circus:clown" "lion:zoo" "circus:clown" "party:guests"
"celebrant:party" "audition:actor" "circus:ringmaster" "church:preacher" "church:preacher" "celebrant:party"
"funeral:coffin" "clambake:clams" "baptism:priest" "cinema:film" "clambake:clams" "funeral:coffin"
"hospital:patient" "carnival:rides" "funeral:family" "picnic:snacks" "picnic:snacks" "hospital:patient"
"party:alcohol" "athlete:competition" "prayer:reverence" "picnic:blanket" "picnic:blanket" "party:alcohol" 
"zoo:animal" "competition:athlete" "players:game" "graduation:diploma" "players:game" "zoo:animal"
"game:players" "party:celebrant" "concert:musician" "pool:water" "pool:water" "game:players" 
"meet:athlete" "school:students" "prom:dress" "zoo:lion" "prom:dress" "meet:athlete"
"game:referee" "crime:evidence" "rides:carnival" "funeral:corpse" "rides:carnival" "game:referee"
"graduation:students" "restaurant:chef" "meal:food" "prom:dress" "prom:dress" "graduation:students"
"pool:water" "zoo:lion" "picnic:snacks" "game:referee" "picnic:snacks" "pool:water"
"game:players" "celebrant:party" "graduation:students" "clambake:clams" "clambake:clams" "game:players"
"carnival:rides" "funeral:coffin" "audition:actor" "zoo:animal" "funeral:coffin" "carnival:rides"
"crime:evidence" "circus:clown" "party:guests" "party:alcohol" "party:guests" "crime:evidence"
"church:preacher" "lion:zoo" "school:students" "graduation:diploma" "lion:zoo" "church:preacher" 
"funeral:corpse" "funeral:family" "meet:athlete" "competition:athlete" "meet:athlete" "funeral:corpse"
"baptism:priest" "prayer:reverence" "meal:food" "picnic:blanket" "picnic:blanket" "baptism:priest"
"athlete:competition" "party:celebrant" "players:game" "restaurant:chef" "restaurant:chef" "athlete:competition" 
"funeral:mourner" "concert:musician" "hospital:patient" "cinema:film" "hospital:patient" "funeral:mourner" 
"rides:carnival" "circus:ringmaster" "hospital:patient" "school:students" "school:students" "rides:carnival" 
"carnival:rides" "celebrant:party" "funeral:coffin" "prayer:reverence" "prayer:reverence" "carnival:rides"
"pool:water" "competition:athlete" "clambake:clams" "party:alcohol" "clambake:clams" "pool:water"
"funeral:corpse" "concert:musician" "athlete:competition" "picnic:snacks" "athlete:competition" "funeral:corpse" 
"prom:dress" "graduation:diploma" "crime:evidence" "lion:zoo" "lion:zoo" "prom:dress"
"meal:food" "funeral:family" "players:game" "zoo:lion" "meal:food" "zoo:lion"
"funeral:mourner" "party:guests" "rides:carnival" "baptism:priest" "funeral:mourner" "party:guests"
"zoo:animal" "party:celebrant" "circus:ringmaster" "restaurant:chef" "zoo:animal" "circus:ringmaster"
"meet:athlete" "graduation:students" "church:preacher" "circus:clown" "graduation:students" "church:preacher"
"audition:actor" "game:referee" "game:players" "cinema:film" "game:referee" "cinema:film"
"picnic:blanket" "meal:food" "game:players" "restaurant:chef" "picnic:blanket" "restaurant:chef"
"lion:zoo" "crime:evidence" "cinema:film" "picnic:blanket" "lion:zoo" "picnic:blanket"
