"mother:father" "rooster:hen" "shirt:blouse" "record:cassette" "shirt:blouse" "mother:father" 
"dogwood:elm" "cup:lid" "jazz:blues" "salt:pepper" "salt:pepper" "jazz:blues" 
"female:male" "boy:girl" "puppy:kitten" "dog:bitch" "boy:girl" "dog:bitch" 
"stallion:mare" "duck:goose" "kitten:puppy" "dog:cat" "dog:cat" "stallion:mare" 
"pen:pencil" "flour:sugar" "car:bus" "fiction:poetry" "flour:sugar" "pen:pencil" 
"sugar:flour" "violin:cello" "cassette:record" "bolt:nut" "violin:cello" "sugar:flour" 
"canoe:kayak" "father:mother" "cat:dog" "pencil:pen" "father:mother" "canoe:kayak" 
"almond:pecan" "algebra:geometry" "nephew:niece" "couch:recliner" "couch:recliner" "almond:pecan" 
"male:female" "book:magazine" "trout:salmon" "treble:bass" "book:magazine" "treble:bass" 
"man:woman" "pillow:mattress" "duck:goose" "shirt:blouse" "pillow:mattress" "man:woman" 
"fiction:poetry" "puppy:kitten" "nephew:niece" "pillow:mattress" "nephew:niece" "fiction:poetry" 
"jazz:blues" "cat:dog" "sugar:flour" "book:magazine" "cat:dog" "jazz:blues" 
"record:cassette" "violin:cello" "almond:pecan" "car:bus" "almond:pecan" "record:cassette" 
"cassette:record" "stallion:mare" "man:woman" "pen:pencil" "man:woman" "cassette:record" 
"male:female" "dogwood:elm" "dog:bitch" "couch:recliner" "dogwood:elm" "couch:recliner" 
"salt:pepper" "bolt:nut" "cup:lid" "kitten:puppy" "bolt:nut" "salt:pepper" 
"female:male" "boy:girl" "algebra:geometry" "trout:salmon" "boy:girl" "trout:salmon" 
"father:mother" "treble:bass" "dog:cat" "rooster:hen" "treble:bass" "rooster:hen" 
"canoe:kayak" "flour:sugar" "mother:father" "pencil:pen" "flour:sugar" "pencil:pen" 
"dogwood:elm" "cat:dog" "canoe:kayak" "flour:sugar" "flour:sugar" "canoe:kayak"
"trout:salmon" "sugar:flour" "puppy:kitten" "father:mother" "father:mother" "trout:salmon" 
"boy:girl" "bolt:nut" "fiction:poetry" "dog:bitch" "bolt:nut" "dog:bitch" 
"male:female" "man:woman" "stallion:mare" "algebra:geometry" "algebra:geometry" "stallion:mare" 
"cassette:record" "dog:cat" "violin:cello" "mother:father" "mother:father" "violin:cello" 
"nephew:niece" "car:bus" "rooster:hen" "jazz:blues" "car:bus" "nephew:niece" 
"salt:pepper" "treble:bass" "pen:pencil" "pillow:mattress" "pen:pencil" "salt:pepper" 
"almond:pecan" "kitten:puppy" "duck:goose" "couch:recliner" "couch:recliner" "almond:pecan" 
"pencil:pen" "record:cassette" "shirt:blouse" "female:male" "female:male" "pencil:pen" 
"book:magazine" "cup:lid" "kitten:puppy" "salt:pepper" "salt:pepper" "kitten:puppy" 
"record:cassette" "trout:salmon" "stallion:mare" "canoe:kayak" "trout:salmon" "stallion:mare" 
"boy:girl" "pencil:pen" "bolt:nut" "rooster:hen" "pencil:pen" "rooster:hen" 
"cat:dog" "flour:sugar" "cassette:record" "pillow:mattress" "flour:sugar" "cat:dog" 
"man:woman" "couch:recliner" "car:bus" "dog:cat" "couch:recliner" "dog:cat" 
"book:magazine" "dog:bitch" "male:female" "shirt:blouse" "dog:bitch" "book:magazine" 
"jazz:blues" "puppy:kitten" "dogwood:elm" "mother:father" "mother:father" "jazz:blues" 
"algebra:geometry" "cup:lid" "fiction:poetry" "female:male" "cup:lid" "algebra:geometry" 
"treble:bass" "duck:goose" "father:mother" "violin:cello" "father:mother" "treble:bass" 
"sugar:flour" "almond:pecan" "nephew:niece" "pen:pencil" "pen:pencil" "sugar:flour" 
"female:male" "duck:goose" "book:magazine" "mother:father" "mother:father" "duck:goose" 
"puppy:kitten" "jazz:blues" "car:bus" "stallion:mare" "jazz:blues" "puppy:kitten" 
"flour:sugar" "trout:salmon" "cat:dog" "violin:cello" "cat:dog" "flour:sugar" 
"dogwood:elm" "record:cassette" "boy:girl" "bolt:nut" "boy:girl" "dogwood:elm" 
"nephew:niece" "pillow:mattress" "dog:cat" "salt:pepper" "pillow:mattress" "nephew:niece" 
"canoe:kayak" "father:mother" "fiction:poetry" "treble:bass" "father:mother" "canoe:kayak" 
"sugar:flour" "dog:bitch" "pencil:pen" "male:female" "dog:bitch" "sugar:flour" 
"pen:pencil" "couch:recliner" "algebra:geometry" "rooster:hen" "couch:recliner" "pen:pencil" 
"man:woman" "cup:lid" "shirt:blouse" "kitten:puppy" "cup:lid" "kitten:puppy" 
"almond:pecan" "cassette:record" "dog:cat" "treble:bass" "dog:cat" "almond:pecan" 
"pencil:pen" "algebra:geometry" "bolt:nut" "fiction:poetry" "fiction:poetry" "pencil:pen" 
"cassette:record" "dog:bitch" "female:male" "salt:pepper" "salt:pepper" "cassette:record" 
"cup:lid" "father:mother" "male:female" "jazz:blues" "father:mother" "cup:lid" 
"man:woman" "record:cassette" "almond:pecan" "nephew:niece" "record:cassette" "man:woman" 
"rooster:hen" "pillow:mattress" "duck:goose" "mother:father" "pillow:mattress" "duck:goose" 
"dogwood:elm" "stallion:mare" "kitten:puppy" "book:magazine" "book:magazine" "dogwood:elm" 
"puppy:kitten" "boy:girl" "car:bus" "sugar:flour" "sugar:flour" "puppy:kitten" 
"flour:sugar" "couch:recliner" "shirt:blouse" "cat:dog" "couch:recliner" "flour:sugar" 
"canoe:kayak" "violin:cello" "pen:pencil" "trout:salmon" "pen:pencil" "trout:salmon" 
"pen:pencil" "cassette:record" "car:bus" "couch:recliner" "couch:recliner" "pen:pencil" 
"shirt:blouse" "mother:father" "boy:girl" "algebra:geometry" "mother:father" "shirt:blouse" 
"stallion:mare" "female:male" "rooster:hen" "dog:bitch" "female:male" "stallion:mare" 
"salt:pepper" "trout:salmon" "dog:cat" "bolt:nut" "dog:cat" "salt:pepper" 
"pillow:mattress" "man:woman" "jazz:blues" "treble:bass" "pillow:mattress" "jazz:blues" 
"sugar:flour" "kitten:puppy" "fiction:poetry" "violin:cello" "kitten:puppy" "violin:cello" 
"father:mother" "nephew:niece" "record:cassette" "dogwood:elm" "record:cassette" "father:mother" 
"male:female" "canoe:kayak" "duck:goose" "flour:sugar" "canoe:kayak" "flour:sugar" 
"puppy:kitten" "cat:dog" "cup:lid" "almond:pecan" "cup:lid" "puppy:kitten" 
"pencil:pen" "book:magazine" "duck:goose" "stallion:mare" "book:magazine" "stallion:mare" 
"pen:pencil" "puppy:kitten" "shirt:blouse" "record:cassette" "record:cassette" "pen:pencil" 
"rooster:hen" "flour:sugar" "bolt:nut" "trout:salmon" "flour:sugar" "bolt:nut" 
"algebra:geometry" "sugar:flour" "cat:dog" "salt:pepper" "cat:dog" "salt:pepper" 
"father:mother" "dog:cat" "female:male" "book:magazine" "dog:cat" "father:mother" 
"couch:recliner" "nephew:niece" "pillow:mattress" "boy:girl" "boy:girl" "couch:recliner" 
"kitten:puppy" "cassette:record" "violin:cello" "man:woman" "man:woman" "man:woman" 
"cup:lid" "car:bus" "mother:father" "treble:bass" "mother:father" "car:bus" 
"male:female" "almond:pecan" "pencil:pen" "dog:bitch" "pencil:pen" "dog:bitch" 
"canoe:kayak" "fiction:poetry" "jazz:blues" "dogwood:elm" "fiction:poetry" "canoe:kayak" 
"record:cassette" "shirt:blouse" "cup:lid" "canoe:kayak" "cup:lid" "canoe:kayak" 
"male:female" "duck:goose" "kitten:puppy" "book:magazine" "book:magazine" "male:female" 
"jazz:blues" "cat:dog" "couch:recliner" "trout:salmon" "cat:dog" "jazz:blues" 
"rooster:hen" "dog:cat" "pencil:pen" "sugar:flour" "pencil:pen" "sugar:flour" 
"dogwood:elm" "pen:pencil" "female:male" "treble:bass" "pen:pencil" "dogwood:elm" 
"boy:girl" "algebra:geometry" "flour:sugar" "man:woman" "flour:sugar" "algebra:geometry" 
"mother:father" "cassette:record" "pillow:mattress" "almond:pecan" "cassette:record" "pillow:mattress" 
"nephew:niece" "violin:cello" "dog:bitch" "puppy:kitten" "dog:bitch" "nephew:niece" 
"fiction:poetry" "salt:pepper" "father:mother" "car:bus" "salt:pepper" "car:bus" 
"stallion:mare" "bolt:nut" "cup:lid" "couch:recliner" "bolt:nut" "stallion:mare" 
"flour:sugar" "cassette:record" "pencil:pen" "pen:pencil" "cassette:record" "pen:pencil" 
"man:woman" "salt:pepper" "cat:dog" "mother:father" "salt:pepper" "cat:dog" 
"dogwood:elm" "fiction:poetry" "trout:salmon" "shirt:blouse" "fiction:poetry" "trout:salmon" 
"algebra:geometry" "puppy:kitten" "treble:bass" "dog:cat" "dog:cat" "algebra:geometry" 
"record:cassette" "duck:goose" "jazz:blues" "almond:pecan" "almond:pecan" "record:cassette" 
"kitten:puppy" "violin:cello" "dog:bitch" "father:mother" "dog:bitch" "kitten:puppy" 
"book:magazine" "boy:girl" "stallion:mare" "nephew:niece" "stallion:mare" "book:magazine" 
"car:bus" "female:male" "canoe:kayak" "bolt:nut" "female:male" "canoe:kayak" 
"sugar:flour" "male:female" "pillow:mattress" "rooster:hen" "pillow:mattress" "sugar:flour" 
