Subcategories,"Random
Spearman","BUAP
Spearman","UTD-NB
Spearman","UTD-SVM
Spearman","UMD-V0
Spearman","UMD-V1
Spearman","UMD-V2
Spearman",Llama 2 Spearman,"Random
MaxDiff","BUAP
MaxDiff","UTD-NB
MaxDiff","UTD-SVM
MaxDiff","UMD-V0
MaxDiff","UMD-V1
MaxDiff","UMD-V2
MaxDiff",Llama 2 MaxDiff
1b CLASS-INCLUSION -- Functional,0.226,0.072,0.098,0.000,0.095,0.333,0.135,0.169,35.4,31.6,35.9,24.8,29.1,38.3,30.6,38.8
1c CLASS-INCLUSION -- Singular Collective,-0.142,0.075,0.178,0.109,-0.171,0.160,0.050,-0.065,23.3,31.9,33.3,31.4,20.5,36.7,30.0,29.0
1d CLASS-INCLUSION -- Plural Collective,-0.001,-0.088,0.656,0.264,0.023,0.012,0.168,-0.251,31.5,23.6,48.1,37.0,30.6,28.2,33.3,25.0
1e CLASS-INCLUSION -- ClassIndividual,0.145,0.196,0.000,0.000,0.233,0.206,0.317,0.082,33.7,38.6,33.1,33.1,36.7,39.2,38.6,26.5
2a PART-WHOLE -- Object:Component,-0.240,0.048,0.209,0.240,0.107,0.075,0.093,0.025,16.8,35.5,36.4,42.7,32.7,32.3,33.6,28.6
2b PART-WHOLE -- Collection:Member,-0.071,-0.077,0.291,0.350,-0.150,-0.018,0.057,0.534,28.9,28.4,36.8,35.3,27.4,28.4,32.6,35.3
2d PART-WHOLE -- Event:Feature,0.068,0.055,0.287,0.114,-0.093,-0.185,-0.250,0.300,33.7,37.8,45.9,33.7,34.7,21.9,24.5,37.2
2e PART-WHOLE -- Activity:Stage,0.138,-0.010,0.054,0.146,0.220,0.047,0.070,-0.073,42.5,30.5,38.5,37.5,36.5,37.5,35.0,33.5
2f PART-WHOLE -- Item:Topological Part,0.093,0.228,0.618,0.051,-0.041,0.062,0.022,0.473,31.5,44.4,50.9,34.7,28.7,30.6,26.4,47.2
2g PART-WHOLE -- Object:Stuff,-0.062,0.126,0.444,0.042,-0.107,-0.169,-0.103,0.199,31.0,38.0,45.4,30.1,23.6,21.3,25.0,34.7
2i PART-WHOLE -- Item:Distinctive Nonpart,0.084,0.040,0.046,0.244,-0.080,-0.012,0.057,0.139,37.2,29.1,40.8,39.8,30.6,30.6,34.2,40.8
2j PART-WHOLE -- Item:Ex-part/Ex-possession,0.088,0.121,0.065,-0.048,-0.344,-0.469,-0.380,0.330,33.3,36.7,32.4,31.4,21.0,9.5,17.1,36.7
3b SIMILAR -- Dimensional Similarity,0.082,-0.191,0.174,0.118,0.285,0.074,0.129,0.290,34.7,25.0,37.0,43.5,40.3,36.6,39.8,39.4
3d SIMILAR -- Dimensional Naughty,0.032,-0.151,-0.068,0.018,0.103,-0.044,-0.055,0.170,30.0,24.8,29.0,26.2,32.4,27.1,24.3,39.5
3e SIMILAR -- Conversion,0.251,-0.051,0.592,0.253,0.181,0.141,0.071,0.097,37.6,24.2,52.2,35.5,33.9,33.3,30.6,29.0
3f SIMILAR -- Attribute Similarity,-0.288,-0.010,0.000,0.222,-0.194,0.206,0.062,-0.012,24.3,31.0,35.4,39.4,24.3,42.0,36.3,27.4
3g SIMILAR -- Coordinates,-0.035,0.283,0.508,0.035,0.436,0.566,0.594,0.102,27.9,45.3,49.5,30.0,51.1,55.8,55.3,33.7
