
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             Phase2Answers/Phase2Answers-2i.txt
Test File:                                        Maxdiff-llama-answers/Llama.maxdiff.2i.txt
Number of MaxDiff Questions:                      98
Number of Least Illustrative Guessed Correctly:   31
Number of Least Illustrative Guessed Incorrectly: 67
Accuracy of Least Illustrative Guesses:            31.6%
Number of Most Illustrative Guessed Correctly:    49
Number of Most Illustrative Guessed Incorrectly:  49
Accuracy of Most Illustrative Guesses:             50.0%
Overall Accuracy:                                  40.8%
