
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             Phase2Answers-4b.txt
Test File:                                        Llama.maxdiff.4b.txt
Number of MaxDiff Questions:                      88
Number of Least Illustrative Guessed Correctly:   27
Number of Least Illustrative Guessed Incorrectly: 61
Accuracy of Least Illustrative Guesses:            30.7%
Number of Most Illustrative Guessed Correctly:    20
Number of Most Illustrative Guessed Incorrectly:  68
Accuracy of Most Illustrative Guesses:             22.7%
Overall Accuracy:                                  26.7%
