
Generated by:                                     score_maxdiff.pl
Mechanical Turk File:                             Phase2Answers/Phase2Answers-4g.txt
Test File:                                        Maxdiff-llama-answers/Llama.maxdiff.4g.txt
Number of MaxDiff Questions:                      113
Number of Least Illustrative Guessed Correctly:   40
Number of Least Illustrative Guessed Incorrectly: 73
Accuracy of Least Illustrative Guesses:            35.4%
Number of Most Illustrative Guessed Correctly:    49
Number of Most Illustrative Guessed Incorrectly:  64
Accuracy of Most Illustrative Guesses:             43.4%
Overall Accuracy:                                  39.4%
